epoch,loss,accuracy,macro_f1,weighted_f1
1,421.08443689346313,0.2579473206176203,0.10147765586667426,0.12951752398815242
2,418.02598571777344,0.25885558583106266,0.10416133079798726,0.13305618361753763
3,416.4143109321594,0.26430517711171664,0.11784204575449213,0.15103080442588834
4,414.768061876297,0.2633969118982743,0.12293766987607682,0.15777496738726612
5,413.10804438591003,0.2761126248864669,0.1371724455997652,0.17640727890162475
6,411.0346939563751,0.27974568574023617,0.14391326816904965,0.18482532895771434
7,409.08318293094635,0.28792007266121705,0.15076902602711076,0.19428694981630504
8,406.76152300834656,0.2851952770208901,0.15084682641415115,0.19346956922961428
9,404.38492810726166,0.28428701180744775,0.14896362754056897,0.19011872258130882
10,402.1914517879486,0.2970027247956403,0.16561147463780654,0.2081223093735796
